Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Source,Conference,Book
A multi-objective worker selection scheme in crowdsourced platforms using NSGA-II,"Akash Yadav, Sumit Mishra, Ashok Singh Sairam",2022/9/1,Expert Systems with Applications,201,,Pergamon,"Crowdsourcing has led to a paradigm shift in how commercial houses execute projects by lowering the production cost. A crucial aspect of crowdsourcing is selecting the best set of workers to perform a task. The environment envisaged in this work is an independent pool of workers, each equipped with a pre-defined set of skills. We assume that these skills do not follow any priority order over each other. Given a task with a set of required skills, we aim to select a team of workers who can collectively fulfil the task’s requirements, while maximizing the collective expertise and minimizing the team cost. We propose a nondominated sorting genetic algorithm II (NSGA II) based algorithm to find the best set of workers that can perform the task. The basic operators of the evolutionary computation approach are tuned in accordance with our problem objectives. We perform a detailed analysis to show that the solution is well …",6,"A multi-objective worker selection scheme in crowdsourced platforms using NSGA-II
A Yadav, S Mishra, AS Sairam - Expert Systems with Applications, 2022
Cited by 6 Related articles All 2 versions","{'2022': 2, '2023': 4}",116991,,,
Ripple: An approach to locate k nearest neighbours for location-based services,"Pratima Biswas, Sourav Kumar Dandapat, Ashok Singh Sairam",2022/3/1,,105,,Pergamon,"The increasing popularity of location-based services has led to a renewed interest in spatial query processing. In this paper, we propose Ripple, a light-weighted framework to find the nearest neighbours. The area is divided into square cells of equal size to form a grid structure. The search advances by progressively expanding the investigation region as a series of concentric squares, with the cell of query point as the centre. This is in contrast to the popular approach of increasing the search space as concentric circles. The circular search scheme explores only those square cells that intersect the circle and as a result, has a smaller search region. However, it has an added overhead of tracing the cells that intersect the circle for the same reason. In Ripple, there is no such additional overhead due to harmony in the investigation region’s configuration and the underlying grid structure. We optimize the search space by …",2,"Ripple: An approach to locate k nearest neighbours for location-based services
P Biswas, SK Dandapat, AS Sairam - Information Systems, 2022
Cited by 2 Related articles All 2 versions",{'2022': 2},101933,Information Systems,,
Controller placement problem in software‐defined networking: A survey,"Abha Kumari, Ashok Singh Sairam",2021/9,Networks,78,2,"John Wiley & Sons, Inc.","A distinctive feature of software‐defined networking (SDN) is a logically centralized control plane realized using multiple physical controllers. The placement of the controllers, the so‐called controller placement problem (CPP), is a crucial design issue. It influences network performance parameters such as latency, flow setup time, network availability, load balance of the controllers, and energy consumption. In this article, we illustrate the formulation of these CPP objectives. We categorize the CPP design solutions as either static or adaptive. In adaptive CPP, the solutions proposed dynamically adapt to the number of controllers required and the switch to controller mapping to varying network traffic. We further differentiate adaptive CPP as wired or wireless. The optimization strategies adopted by the papers are analyzed and grouped into five categories: exact, heuristic, meta‐heuristic, clustering, and game theory …",12,"Controller placement problem in software‐defined networking: A survey
A Kumari, AS Sairam - Networks, 2021
Cited by 12 Related articles","{'2021': 2, '2022': 9, '2023': 1}",195-223,,,
A Budget and Deadline Aware Task Assignment Scheme for Crowdsourcing Environment,"Akash Yadav, Joydeep Chandra, Ashok Singh Sairam",2021/3/3,IEEE Transactions on Emerging Topics in Computing,10,2,IEEE,"This article addresses the problem of assigning heterogeneous tasks with multiple skill requirements in crowdsourcing platforms. The aim is to find mutually exclusive, a highly-productive set of workers who can successfully complete the tasks within a given deadline and budget. We propose a timeline based weighted aggregation (TWA) technique to quantify the per-skill score of a worker. The score is computed based on the worker’s profile and past work experiences. Given the worker’s score, we formulate the problem as one of maximizing the productivity of all the given tasks. A two-stage approximation solution is proposed. In the first stage, we offer a greedy-based 2-approximation algorithm for a single task. In the second stage, a local ratio based algorithm is proposed to extend the solution for multiple tasks. The overall solution is shown to be 3-approximate. Finally, simulation results using real-world data …",3,"A Budget and Deadline Aware Task Assignment Scheme for Crowdsourcing Environment
A Yadav, J Chandra, AS Sairam - IEEE Transactions on Emerging Topics in Computing, 2021
Cited by 3 Related articles All 4 versions",{},1020-1034,,,
An analytical model for information gathering and propagation in social networks using random graphs,"Samant Saurabh, Sanjay Madria, Anirban Mondal, Ashok Singh Sairam, Saurabh Mishra",2020/9/1,Data & Knowledge Engineering,129,,North-Holland,"In this paper, we propose an analytical model for information gathering and propagation in social networks using random sampling. We represent the social network using the Erdos–Renyi model of the random graph. When a given node is selected in the social network, information about itself and all of its neighbors are obtained and these nodes are considered to be discovered. We provide an analytical solution for the expected number of nodes that are discovered as a function of the number of nodes randomly sampled in the graph. We use the concepts of combinatorics, probability, and inclusion–exclusion principle for computing the number of discovered nodes. This is a computationally-intensive problem with combinatorial complexity. This model is useful when crawling and mining of the social network graph is prohibited. Our work finds application in several important real-world decision support scenarios …",5,"An analytical model for information gathering and propagation in social networks using random graphs
S Saurabh, S Madria, A Mondal, AS Sairam, S Mishra - Data & Knowledge Engineering, 2020
Cited by 5 Related articles All 2 versions","{'2021': 1, '2022': 4}",101852,,,
Worker selection in crowd-sourced platforms using non-dominated sorting,"Sumit Mishra, Akash Yadav, Ashok Singh Sairam",2019/10/17,,,,IEEE,"Crowdsourcing has lead to a paradigm shift in the manner commercial houses execute projects by lowering the cost-per-unit of production. A crucial aspect in crowdsourcing is selecting the best set of workers that can perform a task. The environment envisaged in this work is an independent pool of workers, each equipped with a pre-defined set of skills. We assume that these skills do not follow any priority order over each other. Given a task with a set of required skills, our aim is to perform a non-dominated sorting of the workers based on the requirement. From this set of ordered workers, we use domination count to select the best set of workers that can perform the task. Empirical results using real dataset is presented.",4,"Worker selection in crowd-sourced platforms using non-dominated sorting
S Mishra, A Yadav, AS Sairam - TENCON 2019-2019 IEEE Region 10 Conference …, 2019
Cited by 4 Related articles",{},41-45,,TENCON 2019-2019 IEEE Region 10 Conference (TENCON),
Predictive Flow Modeling in Software Defined Network,"Abha Kumari, Joydeep Chandra, Ashok Singh Sairam",2019/10/17,,,,IEEE,"The centralized control plane of Software Defined Network (SDN) introduces scalability concerns, which is addressed by physically distributing the control plane, although logically centralized. As the task of the control plane is delegated to multiple controllers, the layout of the controllers greatly influence the performance of the network. An important objective that researchers try to optimize while deciding placement of controllers is the flow setup time. This, in turn, depends on the number of flows generated. In this work, we decompose the network traffic into a time series model of flows. We use parametric and non-parametric learning techniques to predict the number of flows for the next epoch based on the current traffic dynamics. Two different real traffic traces have been used to develop the prediction models.",2,"Predictive Flow Modeling in Software Defined Network
A Kumari, J Chandra, AS Sairam - TENCON 2019-2019 IEEE Region 10 Conference …, 2019
Cited by 2 Related articles All 2 versions","{'2021': 1, '2022': 1}",1494-1498,,TENCON 2019-2019 IEEE Region 10 Conference (TENCON),
Detecting semantic attacks in intelligent transport system,"Ashok Singh Sairam, Arav Garg",2019/9/5,,,,IEEE,"Intelligent Transport System (ITS) rely on cooperation between vehicles to create awareness of surroundings by an exchange of messages. The two standardized messages used in ITS communication are Cooperative Awareness Messages (CAM) and Decentralized Environment Notification Messages (DENM). A CAM is periodically transmitted by an ITS station to ensure awareness of the surrounding. DENMs are asynchronous messages triggered by events. In this work, we outline the possibility of a semantic attack on DENM messages. In a semantic attack, the messages generated by an ITS-station is manipulated to alter the meaning (semantic) to induce real damage to the transport system. Such attacks are hard to detect as the message syntax itself is legitimate. A dynamic trust model is proposed based on the messages generated by the ITS stations. Empirical results show that the model can discriminate …",1,"Detecting semantic attacks in intelligent transport system
AS Sairam, A Garg - 2019 4th International Conference on Intelligent …, 2019
Cited by 1 Related articles",{'2020': 1},185-189,,2019 4th International Conference on Intelligent Transportation Engineering (ICITE),
A survey of controller placement problem in software defined networks,"Abha Kumari, Ashok Singh Sairam",2019/5/12,,,,,"Software Defined Network (SDN) is an emerging network paradigm which provides a centralized view of the network by decoupling the network control plane from the data plane. This strategy of maintaining a global view of the network optimizes resource management. However, the implementation of SDN using a single physical controller lead to issues of scalability and robustness. A physically distributed but logically centralized SDN controller architecture promises to resolve both these issues. Distributed SDN along with its benefits brings along the problem of the number of controllers required and their placement in the network. This problem is referred to as the controller placement problem (CPP) and this paper is mainly concerned with the CPP solution techniques. The paper formally defines CPP, gives a comprehensive review of the various performance metrics and characteristics of the available CPP solutions. Finally, we point out the existing literature gap and discuss the future research direction in this domain.",26,"A survey of controller placement problem in software defined networks
A Kumari, AS Sairam - arXiv preprint arXiv:1905.04649, 2019
Cited by 26 Related articles All 2 versions","{'2019': 2, '2020': 5, '2021': 9, '2022': 10}",,arXiv preprint arXiv:1905.04649,,
IP traceback in dynamic networks,"Sangita Roy, Hardik Chawla, Ashok Singh Sairam",2019/4/30,,939,,,"IP traceback or identifying an attacker is an important step for post analysis of denial of service (DoS) attacks. In this work, we present techniques to traceback in networks with dynamic topology. We consider network scenarios where edges/nodes may get added or deleted in the attack path during the process of traceback. Due to the alteration in the attack path, the standard traceback procedures proposed in literature fail to construct the attack path. An exact algorithm, based on the branch and bound technique is proposed which guarantees to completely determine the attack path. An approximation of this algorithm is also presented which is shown to have a less computational complexity but introduces false positives.",1,"IP traceback in dynamic networks
S Roy, H Chawla, AS Sairam - Security and Privacy: Second ISEA International …, 2019
Cited by 1 Related articles All 2 versions",{'2022': 1},,,"International Conference on Security & Privacy, ISEA-ISAP 2019, Springer, Singapore",
